Ozone_mean,Ozone_max,Ozone_95,PM25_mean,PM25_first_max,PM25_95,CO_mean,CO_max,CO_95,NO2_mean,NO2_max,NO2_95
0.054410000000000014,0.119,0.092,18.038162,77.3,48.8,0.381782,3.1,1.177,24.336798,56.7,47.0
0.061112,0.124,0.104,47.1625,153.0,86.2,0.39160100000000003,2.1,1.0,24.839172,64.4,47.6
0.058698,0.11599999999999999,0.095,15.78309,80.7,39.3,0.281985,1.5,0.7000000000000001,9.571133,59.0,24.3
0.066992,0.159,0.119,25.842975,121.4,59.7,0.356021,10.3,1.0,44.790368,149.0,73.0
0.063683999999999,0.184,0.114,25.219565,89.8,62.2,0.871026,4.8,2.1,37.572531,143.0,68.0
0.07012199999999902,0.17400000000000002,0.133,26.227434000000002,78.5,62.3,0.174028,1.2,0.4,57.81044,125.0,99.0
0.064848,0.159,0.114,25.236937,66.6,54.0,0.9173610000000001,4.5,2.0,52.339806,105.0,86.0
0.070312,0.17400000000000002,0.14,23.758475,98.1,53.0,0.970356,5.1,2.0,53.526171,117.0,89.0
0.064956,0.14500000000000002,0.104,22.007547,93.4,52.2,0.668091,3.3,1.4,49.05865900000001,118.0,76.0
0.070379,0.182,0.126,18.912727,106.2,37.2,0.647672,3.8,1.4,47.936288,102.0,73.0
0.066963,0.166,0.119,18.313084,55.0,40.6,0.605216,2.8,1.4,48.02381,100.0,79.0
0.07572000000000001,0.171,0.115,18.914019,77.5,48.1,0.49869600000000003,3.7,1.1,42.9,95.0,70.0
0.071648,0.17600000000000002,0.123,15.815044,54.2,39.3,0.439834,1.7000000000000002,0.9,37.705234,91.0,59.0
0.06678200000000001,0.14600000000000002,0.11,14.716667000000001,46.9,29.1,0.3762,2.5,0.9,39.395018,106.0,55.0
0.061529999999999,0.131,0.10099999999999999,13.019643,46.1,28.3,0.42463999999999896,2.3,0.9,39.24816,137.0,59.4
0.06754399999999901,0.16,0.114,13.184746,65.0,28.2,0.353109,1.9,0.8,37.014773,76.4,58.9
0.06474400000000001,0.124,0.106,12.713636,39.9,27.5,0.45101899999999995,2.1,0.9,40.188525,146.0,64.0
0.06454599999999901,0.122,0.105,12.299174,55.3,25.8,0.417083,3.8,0.9,32.62312,81.7,52.2
0.065661,0.13699999999999998,0.106,14.643243,34.6,33.6,0.156836,2.6,0.6000000000000001,30.888673999999998,74.10000000000002,47.8
0.066484,0.13699999999999998,0.111,16.101565,89.7,38.2,0.730831,5.1,1.4,35.647802,118.1,57.3
0.067186,0.156,0.115,16.289274,128.6,35.2,0.48875799999999897,11.6,0.9,44.04297800000001,97.2,66.0
0.069326,0.15,0.12,16.900799,158.8,37.6,0.44640599999999897,2.5,0.9,29.641899,69.2,48.4
0.031668999999999004,0.079,0.047,17.944167,71.2,41.6,0.9798669999999989,8.6,1.9,33.983239999999995,103.0,65.0
0.027610000000000003,0.057999999999999996,0.042,13.288947,47.9,30.2,0.8537450000000001,5.5,1.6,32.044077,74.0,53.0
0.030500000000000006,0.08199999999999999,0.046,13.060513,76.60000000000002,28.7,0.858798,5.2,1.5,31.405556,73.0,55.0
0.031632,0.054000000000000006,0.047,15.309184,70.2,40.6,0.7571789999999989,6.8,1.5,30.190883000000003,75.0,54.0
0.031421,0.085,0.049,11.236869,41.6,21.2,0.748413,8.6,1.4,30.138889,72.0,51.0
0.032468000000000004,0.096,0.046,11.535821,45.8,26.3,0.712353,3.7,1.3,28.846154,63.0,48.0
0.034622,0.057999999999999996,0.047,11.006436,43.6,26.0,0.675322,4.1,1.2,26.881215,66.0,46.0
0.032369,0.053000000000000005,0.045000000000000005,10.491787,54.3,21.5,0.52064,2.7,1.0,29.512604999999997,107.0,53.0
0.031481999999999004,0.06,0.046,9.93814,45.2,20.1,0.449003,2.5,0.9,28.130682,69.0,49.0
0.033596,0.08199999999999999,0.048,9.95,29.4,20.4,0.42799099999999896,5.7,0.9,28.663866,62.0,51.0
0.031323000000000004,0.07200000000000001,0.046,13.474020000000001,75.0,29.0,0.307247,4.3,0.7000000000000001,27.350828999999997,59.0,50.0
0.032983,0.079,0.047,10.552811,62.0,24.0,0.209148,1.8,0.6000000000000001,27.184375,92.9,55.0
0.032208,0.07,0.047,9.554208000000001,70.0,25.0,0.245149999999999,1.8,0.6000000000000001,30.954131,93.3,71.60000000000002
0.03329,0.069,0.045000000000000005,8.196361,51.0,21.0,0.402673,2.0,0.7000000000000001,25.908732,124.0,55.9
0.030726,0.069,0.044,10.173668,70.0,25.0,0.40011599999999903,1.8,0.8,26.805587,72.60000000000002,54.4
0.032188999999998996,0.079,0.045000000000000005,7.674706,46.0,18.0,0.38100300000000004,1.6,0.7000000000000001,24.330748,83.7,50.4
0.032947000000000004,0.085,0.046,7.586633999999999,146.0,22.0,0.413184,1.8,0.8,24.195304,70.60000000000002,48.4
0.032556,0.07,0.044,7.620438999999998,108.0,18.0,0.39535899999999896,1.7000000000000002,0.7000000000000001,21.860845,58.1,44.0
0.032933,0.079,0.047,9.695186,190.0,25.0,0.406935,2.5,0.7000000000000001,23.842105,73.0,52.2
0.057520999999999,0.135,0.081,14.986667,24.3,21.3,0.7598929999999989,8.2,2.4,37.180556,96.0,60.0
0.053603,0.128,0.077,12.079545,28.7,22.2,0.628342,5.8,1.5,24.444444,76.0,40.0
0.055923,0.11699999999999999,0.085,10.401639,43.2,17.1,0.385378,5.4,0.8,20.607735,113.0,37.0
0.057644999999999,0.113,0.083,9.566667,21.3,17.2,0.36321699999999896,3.4,0.9,22.369697,63.0,39.0
0.053259,0.107,0.077,10.022807,24.0,17.0,0.373527,5.9,1.2,26.19708,59.0,46.0
0.053815999999999004,0.109,0.077,10.976364,27.5,20.2,0.44582700000000003,4.7,1.1,24.84136,63.0,44.0
0.052657999999999004,0.091,0.078,10.705769,29.8,19.4,0.34825500000000004,4.0,0.9,22.548209,62.0,43.0
0.053609000000000004,0.102,0.077,10.110909,27.9,17.900000000000006,0.33247499999999897,4.1,0.8,21.711538,63.0,41.0
0.055257999999999,0.10099999999999999,0.075,9.49,23.5,15.2,0.480865,4.6,1.3,26.409836,65.0,42.0
0.051812000000000004,0.10099999999999999,0.07300000000000001,10.367797,44.2,15.5,0.36045499999999897,5.2,0.8,21.983051,73.0,41.0
0.051296999999999,0.11,0.07200000000000001,9.62,25.3,16.7,0.305842,3.4,0.8,20.176966,52.0,38.0
0.049102999999999994,0.09300000000000001,0.067,10.040603,176.0,21.0,0.23565899999999898,3.2,0.7000000000000001,18.31768,90.0,39.0
0.049310000000000014,0.11,0.065,11.053407,129.0,22.0,0.25605500000000003,3.1,0.6000000000000001,19.587896,53.0,39.0
0.050824999999999,0.094,0.067,8.601382000000001,170.0,19.0,0.355131,2.5,0.9,18.737651,48.0,38.0
0.051188,0.085,0.066,8.969183000000001,111.0,19.0,0.27408499999999897,2.592,0.737,19.541195,50.6,38.2
0.049920000000000006,0.11199999999999999,0.069,8.916246000000001,74.0,19.0,0.252785,4.091,0.618,17.763804,51.5,38.1
