Ozone_mean,Ozone_max,Ozone_95,PM25_mean,PM25_first_max,PM25_95
0.046679000000000005,0.1,0.07200000000000001,12.507463,32.3,22.4
0.056950000000000014,0.108,0.08199999999999999,14.564286,33.8,28.3
0.055198,0.117,0.083,14.434482999999998,37.0,26.3
0.053329999999999,0.113,0.077,12.121311,33.2,23.6
0.048331,0.092,0.068,12.135574,51.1,27.0
0.048302,0.08600000000000001,0.068,11.94,89.7,27.7
0.047164,0.098,0.069,11.772881,60.0,26.3
0.051324999999999,0.096,0.07300000000000001,10.781667,47.3,24.3
0.045971,0.094,0.066,10.325455,74.60000000000002,25.8
0.063351999999999,0.109,0.098,15.705357,36.0,29.3
0.055987999999999004,0.09,0.08,14.577685999999998,32.8,28.7
0.052428999999999004,0.101,0.08199999999999999,13.681034,36.4,25.6
0.055311,0.091,0.078,13.710435,39.0,25.1
0.053842999999999,0.094,0.077,13.437963,34.5,26.8
0.056069999999999,0.08900000000000001,0.079,14.37,47.8,29.1
0.057399,0.1,0.081,13.228570999999999,31.2,24.7
0.059938,0.112,0.083,14.295798,53.7,32.5
0.054837,0.09,0.076,12.232941,37.0,22.7
0.048375999999999,0.08600000000000001,0.065,9.967213,23.4,18.1
0.053819000000000006,0.08900000000000001,0.075,11.585833,21.1,19.1
0.053845,0.099,0.07400000000000001,11.307692,25.8,20.9
0.053596000000000005,0.097,0.07400000000000001,9.245833,20.5,17.5
0.048913,0.078,0.063,8.64,18.3,15.7
0.048739,0.078,0.064,9.0,29.3,17.400000000000002
0.046743,0.07400000000000001,0.064,8.59,20.5,17.3
0.050159999999999004,0.08600000000000001,0.067,7.7779659999999975,35.2,12.4
0.046856999999999004,0.075,0.063,7.501695,18.9,14.8
0.060551999999999,0.122,0.094,18.551852,59.0,34.9
0.06113599999999901,0.122,0.095,15.562000000000001,53.2,31.0
0.051167,0.106,0.08199999999999999,13.292982,39.5,26.4
0.051038,0.107,0.084,12.971428999999999,28.0,28.0
0.051431,0.109,0.083,12.832742999999999,42.7,23.7
0.052148,0.10300000000000001,0.079,14.000901,187.8,28.9
0.052355,0.10400000000000001,0.077,13.816981,38.9,28.3
0.05638500000000001,0.107,0.084,12.77395,48.3,25.8
0.053882000000000006,0.106,0.085,11.462727,26.3,20.0
0.047903,0.099,0.075,10.03211,31.2,18.3
0.044733999999999004,0.093,0.068,9.58,28.6,19.5
0.051197,0.10400000000000001,0.076,9.765421,22.4,16.7
0.051073,0.09,0.078,10.027731,23.1,17.7
0.049089999999999,0.08800000000000001,0.07400000000000001,8.765421,18.7,16.3
0.044586,0.08,0.065,8.287179,26.9,14.5
0.046796,0.091,0.07,9.015253999999999,24.4,16.3
0.044272000000000006,0.081,0.066,8.38,23.4,15.1
0.043962,0.079,0.062,8.078512,19.4,12.7
0.044493,0.083,0.065,7.953152999999999,21.0,14.2
0.058400999999999,0.13699999999999998,0.092,20.062,48.0,42.7
0.061183999999999,0.126,0.09,18.29661,52.1,37.1
0.052159,0.096,0.078,14.926316,40.2,27.4
0.051176,0.098,0.079,14.548276,39.4,26.7
0.047611999999999,0.083,0.07,14.526667000000002,42.8,28.7
0.046748000000000005,0.081,0.065,14.284210999999999,45.0,29.8
0.050477999999999,0.091,0.07100000000000001,14.711475,45.7,29.0
0.053582000000000005,0.093,0.07400000000000001,15.262069,30.7,28.0
0.055434,0.1,0.079,15.356364,68.0,27.9
0.050289999999999,0.083,0.07300000000000001,12.890566,36.8,22.4
0.044482,0.083,0.064,11.022807,48.8,21.5
0.052381,0.08800000000000001,0.07300000000000001,12.392039,75.0,24.9
