,asthma_death_per_100k,asthma_deaths_per_100k,county_name,fips,observed,state_name,year
99,1.8974474030000001,,Kenton,21117,1,Kentucky,1996
100,1.494273727,,Lawrence,21127,1,Kentucky,1996
101,1.494273727,,Livingston,21139,1,Kentucky,1996
102,1.494273727,,McCracken,21145,1,Kentucky,1996
103,1.494273727,,McLean,21149,1,Kentucky,1996
104,1.494273727,,Oldham,21185,1,Kentucky,1996
105,1.494273727,,Perry,21193,1,Kentucky,1996
106,1.494273727,,Pike,21195,1,Kentucky,1996
107,1.494273727,,Pulaski,21199,1,Kentucky,1996
108,1.494273727,,Scott,21209,1,Kentucky,1996
109,1.494273727,,Simpson,21213,1,Kentucky,1996
110,1.494273727,,Trigg,21221,1,Kentucky,1996
111,1.494273727,,Ascension,22005,1,Louisiana,1996
112,1.494273727,,Beauregard,22011,1,Louisiana,1996
113,1.494273727,,Bossier,22015,1,Louisiana,1996
114,1.494273727,,Caddo,22017,1,Louisiana,1996
115,1.494273727,,Calcasieu,22019,1,Louisiana,1996
116,1.8974474030000001,,East Baton Rouge,22033,1,Louisiana,1996
117,1.494273727,,Grant,22043,1,Louisiana,1996
118,1.494273727,,Iberville,22047,1,Louisiana,1996
119,1.494273727,,Jefferson,22051,1,Louisiana,1996
120,1.494273727,,Lafayette,22055,1,Louisiana,1996
121,1.494273727,,Lafourche,22057,1,Louisiana,1996
122,1.494273727,,Livingston,22063,1,Louisiana,1996
123,1.8974474030000001,,Orleans,22071,1,Louisiana,1996
124,1.494273727,,Ouachita,22073,1,Louisiana,1996
125,1.494273727,,Pointe Coupee,22077,1,Louisiana,1996
126,1.494273727,,West Baton Rouge,22121,1,Louisiana,1996
127,1.494273727,,Cumberland,23005,1,Maine,1996
128,1.494273727,,Hancock,23009,1,Maine,1996
129,1.494273727,,Kennebec,23011,1,Maine,1996
130,1.494273727,,Knox,23013,1,Maine,1996
131,1.494273727,,Oxford,23017,1,Maine,1996
132,1.494273727,,Penobscot,23019,1,Maine,1996
133,1.494273727,,Piscataquis,23021,1,Maine,1996
134,1.494273727,,Sagadahoc,23023,1,Maine,1996
135,1.494273727,,Somerset,23025,1,Maine,1996
136,1.494273727,,York,23031,1,Maine,1996
137,1.494273727,,Anne Arundel,24003,1,Maryland,1996
138,1.5215452919999999,,Baltimore,24005,1,Maryland,1996
139,1.494273727,,Calvert,24009,1,Maryland,1996
140,1.494273727,,Carroll,24013,1,Maryland,1996
141,1.494273727,,Cecil,24015,1,Maryland,1996
142,1.494273727,,Charles,24017,1,Maryland,1996
143,1.494273727,,Harford,24025,1,Maryland,1996
144,1.494273727,,Kent,24029,1,Maryland,1996
145,1.849457527,,Montgomery,24031,1,Maryland,1996
146,1.8974474030000001,,Prince George's,24033,1,Maryland,1996
147,2.3071614119999997,,Baltimore (City),24510,1,Maryland,1996
148,1.494273727,,Barnstable,25001,1,Massachusetts,1996
149,1.494273727,,Berkshire,25003,1,Massachusetts,1996
