,asthma_deaths_per_100k,county_name,fips,observed,state_name,year
102,1.551297613,McCracken,21145,1,Kentucky,1996
103,2.25145287,McLean,21149,1,Kentucky,1996
104,1.372922971,Oldham,21185,1,Kentucky,1996
105,2.366864825,Perry,21193,1,Kentucky,1996
106,2.422044425,Pike,21195,1,Kentucky,1996
107,1.883631403,Pulaski,21199,1,Kentucky,1996
108,1.7883651969999999,Scott,21209,1,Kentucky,1996
109,1.878761172,Simpson,21213,1,Kentucky,1996
110,2.14679079,Trigg,21221,1,Kentucky,1996
111,1.9571868819999998,Ascension,22005,1,Louisiana,1996
112,2.069449657,Beauregard,22011,1,Louisiana,1996
113,1.800467295,Bossier,22015,1,Louisiana,1996
114,2.8196583289999997,Caddo,22017,1,Louisiana,1996
115,2.5576019309999998,Calcasieu,22019,1,Louisiana,1996
116,1.779073486,East Baton Rouge,22033,1,Louisiana,1996
117,2.515694542,Grant,22043,1,Louisiana,1996
118,3.1318633489999996,Iberville,22047,1,Louisiana,1996
119,2.02634299,Jefferson,22051,1,Louisiana,1996
120,2.240259251,Lafayette,22055,1,Louisiana,1996
121,1.7468222740000001,Lafourche,22057,1,Louisiana,1996
122,1.578585151,Livingston,22063,1,Louisiana,1996
123,4.789361404,Orleans,22071,1,Louisiana,1996
124,2.047962465,Ouachita,22073,1,Louisiana,1996
125,2.538068039,Pointe Coupee,22077,1,Louisiana,1996
126,2.092720508,West Baton Rouge,22121,1,Louisiana,1996
127,1.6671250219999998,Cumberland,23005,1,Maine,1996
128,1.740935431,Hancock,23009,1,Maine,1996
129,2.142850931,Kennebec,23011,1,Maine,1996
130,1.5337420609999999,Knox,23013,1,Maine,1996
131,1.569530963,Oxford,23017,1,Maine,1996
132,1.845755557,Penobscot,23019,1,Maine,1996
133,2.191268707,Piscataquis,23021,1,Maine,1996
134,1.833276643,Sagadahoc,23023,1,Maine,1996
135,1.985503284,Somerset,23025,1,Maine,1996
136,1.7866922180000002,York,23031,1,Maine,1996
137,1.685641596,Anne Arundel,24003,1,Maryland,1996
138,1.6080768269999999,Baltimore,24005,1,Maryland,1996
